feedback,1,2,3,4,5,6,7,8,9,10
N,0.6333333333333333,0.23333333333333334,0.1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
M,0.5714285714285714,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.5833333333333334,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
