sequence,Y,M,N,NS,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
MM,9,6,4,0,10,7,4,4,6,4,2,3,2,0
NN,8,2,13,2,18,9,5,7,2,2,3,3,1,0
MY,1,11,2,0,8,5,5,2,2,3,3,2,2,0
MN,2,2,3,0,5,2,3,0,1,1,1,1,1,0
YY,17,8,4,0,18,13,7,5,3,5,2,2,4,0
NY,0,4,1,0,3,1,1,1,1,1,0,0,0,0
YM,6,1,2,1,6,3,2,2,2,3,1,1,1,0
YN,5,2,2,0,7,5,3,3,0,2,1,0,0,0
NM,1,2,3,0,4,2,1,3,1,2,0,2,0,0
