order,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,
1,92,52,22,10,11,5,5,8,3,0,208
2,13,32,24,24,6,8,8,4,4,1,124
3,1,5,10,12,10,12,10,7,4,1,72
4,0,2,4,7,4,3,3,4,3,2,32
5,1,1,0,1,5,3,1,5,0,0,17
6,0,1,0,0,0,3,1,0,2,0,7
7,0,0,1,0,0,1,0,0,0,0,2
8,0,0,0,1,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
