feedback,1,2,3,4,5,6,7,8,9,10
N,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.5,0.25,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
