l1_A,l1_S,l1_Y,l1_M,l1_N,l2_Y,l2_M,l2_N,l3_Y,l3_M,l3_N,l4_Y,l4_M,l4_N,l5_Y,l5_M,l5_N,l6_Y,l6_M,l6_N,l7_Y,l7_M,l7_N,l8_Y,l8_M,l8_N,l9_Y,l9_M,l9_N,l10_Y,l10_M,l10_N
-0.021125166,0,0.442158258,0,0,0,0,0,0.017825003,0,-0.026253341,0,-0.012079461,0,0,0,0.177891944,0.112144898,0,-0.11651054,-0.173906497,0,0,0,0,0,-0.204263308,0.505213332,0,-0.401132223,0,0.248034508
0.483451945,0,-0.813066607,0,0,1.577828051,0,0,-0.260443178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09751953,-0.289552144,0,0,0,-0.988366703,0,-0.651091729,0
0,0,0,-0.1057778,0,-0.212843763,0,1.296554365,0,0,0,0,0.203580201,0,0,0.242940969,0,0,0,0,0,-0.212361942,0,0.805285864,0,0,0.021045735,0,0,0.019151604,0.124869224,-0.067407086
