series,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
No ads,0.602649007,0.40397351,0.231788079,0.251655629,0.158940397,0.185430464,0.130841121,0.214953271,0.093457944,
Direct Marketing Ads,0.104761905,0.552380952,0.447619048,0.276190476,0.180952381,0.142857143,0.219047619,0.125,0.152777778,0.111111111
Indirect Marketing Ads,0.369230769,0.676923077,0.4,0.246153846,0.292307692,0.246153846,0.169230769,0.09375,0.03125,0.0625
