series,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
IM,0.5625,0.65625,0.4375,0.25,0.3125,0.375,0.25,0.125,0.0625,0.0625
IN,0.176470588,0.705882353,0.352941176,0.264705882,0.294117647,0.117647059,0.088235294,0.0625,0,0.0625
