order,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
1,88,28,9,9,6,4,4,6,2,0
2,13,29,14,14,5,7,3,4,3,0
3,0,4,9,9,5,8,7,6,4,0
4,0,0,3,6,4,3,1,4,0,0
5,1,1,0,0,4,3,0,3,0,0
6,0,1,0,0,0,3,0,0,1,0
7,0,0,1,0,0,0,0,0,0,0
8,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
