response,lc1_A,lc1_S,lc1_Y,lc1_M,lc1_N,lc2_Y,lc2_M,lc2_N,lc3_Y,lc3_M,lc3_N,lc4_Y,lc4_M,lc4_N,lc5_Y,lc5_M,lc5_N,lc6_Y,lc6_M,lc6_N,lc7_Y,lc7_M,lc7_N,lc8_Y,lc8_M,lc8_N,lc9_Y,lc9_M,lc9_N,lc10_Y,lc10_M,lc10_N
Y,0,1.193586105,1.238349064,0,0,0,0,-0.977006539,0,-0.143054116,-0.722293161,0.065962562,-1.92443662,-0.783974819,0.317422571,0,0,0.802743102,0,-1.605472152,0.211314588,0,-1.202425034,0,0,-0.227016222,-0.433075088,0,-0.780169432,0,0,-0.296976488
M,0,0,0,0.837833425,0,0.453779003,0.611667229,0,0.068322879,0.743451073,0,0,0.037106178,0,0,1.033046266,0,-0.231013712,1.20613427,0,0,1.183402771,0,0,0,0,0,0,0,0.321411463,0,0
N,-1.181022739,-0.618049917,0,0,0.287793357,-1.847553842,0,1.275025657,-1.316426157,0,1.446287781,-1.005112509,0,0.903932737,-1.501933856,0,2.089760044,0,0,0.061984688,-2.009782101,0,0.250054295,-0.029227005,0,2.921906069,0,0,1.964188001,0,0,0.574597232
