sequence,Y,M,N,NS,sum_answers,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,136,146,102,78,55,50,43,34,24,9
MM,15,9,7,0,31,16,11,6,9,9,6,3,6,2,0
MM_NORM,0.4838709677419355,0.2903225806451613,0.22580645161290322,0.0,,0,0,0,0,0,0,0,0,0,0
NN,12,6,17,3,38,26,13,7,11,3,2,3,5,1,0
NN_NORM,0.3157894736842105,0.15789473684210525,0.4473684210526316,0.07894736842105263,,0,0,0,0,0,0,0,0,0,0
MY,2,14,3,0,19,9,7,7,3,3,4,3,4,2,0
MY_NORM,0.10526315789473684,0.7368421052631579,0.15789473684210525,0.0,,0,0,0,0,0,0,0,0,0,0
MN,4,3,4,0,11,8,4,3,0,1,1,2,2,1,0
MN_NORM,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.0,,0,0,0,0,0,0,0,0,0,0
AM,16,24,12,1,53,6,28,22,13,8,8,11,4,5,4
AM_NORM,0.3018867924528302,0.4528301886792453,0.22641509433962265,0.018867924528301886,,0,0,0,0,0,0,0,0,0,0
AN,11,19,22,0,52,5,30,25,16,11,7,12,5,6,4
AN_NORM,0.21153846153846154,0.36538461538461536,0.4230769230769231,0.0,,0,0,0,0,0,0,0,0,0,0
YY,22,11,4,0,37,24,16,10,6,3,6,2,3,4,0
YY_NORM,0.5945945945945946,0.2972972972972973,0.10810810810810811,0.0,,0,0,0,0,0,0,0,0,0,0
SM,5,5,5,0,15,9,9,8,1,4,4,4,0,1,1
SM_NORM,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0,0,0,0,0,0,0,0,0,0
YN,6,2,5,0,13,8,6,4,3,0,3,1,2,1,0
YN_NORM,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.0,,0,0,0,0,0,0,0,0,0,0
YM,6,1,3,1,11,7,3,3,2,2,3,1,1,1,0
YM_NORM,0.5454545454545454,0.09090909090909091,0.2727272727272727,0.09090909090909091,,0,0,0,0,0,0,0,0,0,0
SN,4,2,8,0,14,3,11,4,6,5,1,1,0,0,0
SN_NORM,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,,0,0,0,0,0,0,0,0,0,0
NM,2,5,3,0,10,6,4,1,4,2,2,0,2,0,0
NM_NORM,0.2,0.5,0.3,0.0,,0,0,0,0,0,0,0,0,0,0
NY,2,9,2,0,13,9,4,2,4,4,3,0,0,0,0
NY_NORM,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.0,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,317,317,317,317,317,317,272,227,227,89
link_visibility_no_ads,,,,,,183,183,183,183,183,183,138,138,138,0
