series,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
AM,0.113207547,0.528301887,0.41509434,0.245283019,0.150943396,0.150943396,0.20754717,0.105263158,0.131578947,0.105263158
AN,0.096153846,0.576923077,0.480769231,0.307692308,0.211538462,0.134615385,0.230769231,0.147058824,0.176470588,0.117647059
