order,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
1,4,24,13,1,5,1,1,2,1,0
2,0,3,10,10,1,1,5,0,1,1
3,1,1,1,3,5,4,3,1,0,1
4,0,2,1,1,0,0,2,0,3,2
5,0,0,0,1,1,0,1,2,0,0
6,0,0,0,0,0,0,1,0,1,0
7,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
