score,Y,M,N,NS,Y_count,M_count,N_count
0.33,0.49122807017543857,0.3684210526315789,0.14035087719298245,,28,21,8
1.00,0.3880597014925373,0.22388059701492538,0.3880597014925373,,26,15,26
0.17,0.2777777777777778,0.3888888888888889,0.3333333333333333,,5,7,6
0.50,0.3103448275862069,0.4482758620689655,0.2413793103448276,,9,13,7
0.25,0.375,0.5,0.125,,3,4,1
