series,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
Y,,,0.392857143,0.379310345,0.142857143,0.175438596,0.18,0.052631579,0.162162162,0.147058824
M,,0.528301887,0.405405405,0.236842105,0.175,0.041666667,0.259259259,0.142857143,0.176470588,0.055555556
N,,0.576923077,0.525,0.236842105,0.216216216,0.166666667,0.25,0.16,0.111111111,0.1
