series,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
Y,,,0.181818182,0.257142857,0.2,0.208333333,0.102040816,0.111111111,0,0
M,,0.65625,0.35483871,0.310344828,0.266666667,0.137931034,0.142857143,0.055555556,0.125,0.0625
N,,0.633333333,0.487179487,0.214285714,0.324324324,0.333333333,0.4,0.166666667,0.125,0.111111111
