rank,pressed_1,pressed_2,pressed_3,pressed_4,pressed_5,pressed_6,pressed_7,pressed_8,pressed_9,pressed_10,
1,92,13,1,0,1,0,0,0,0,0,108
2,52,32,5,2,1,1,0,0,0,0,95
3,22,24,10,4,0,0,1,0,0,0,64
4,10,24,12,7,1,0,0,1,0,0,59
5,11,6,10,4,5,0,0,0,0,0,41
6,5,8,12,3,3,3,1,0,0,0,41
7,5,8,10,3,1,1,0,0,0,0,35
8,8,4,7,4,5,0,0,0,0,0,36
9,3,4,4,3,0,2,0,0,0,0,25
10,0,1,1,2,0,0,0,0,0,0,14
